"symbol";"nimi";"sektor";"hind";"tootlus";"kogus";"kasum_aktsia_kohta";"dividend_aktsia_kohta"
"IPG";"Interpublic Group";"Consumer Discretionary";21.91;0.7819691;7735120;1.451;0.69
"IQV";"IQVIA Holdings Inc.";"Health Care";98.63;2.6860948;1258340;0.244;NA
"IR";"Ingersoll-Rand PLC";"Industrials";90.91;1.9627634;1484922;5.042;1.7
"IRM";"Iron Mountain Incorporated";"Real Estate";33.3;0.60423195;2607790;0.789;2.204
"ISRG";"Intuitive Surgical Inc.";"Health Care";398.51;1.4252644;845177;5.67;NA
"IT";"Gartner Inc";"Information Technology";118.24;2.3811586;854227;0.037;NA
"ITW";"Illinois Tool Works";"Industrials";161.42;0.8055912;1766375;4.86;2.86
"IVZ";"Invesco Ltd.";"Financials";32.52;0.24661478;2720708;2.75;1.16
"JBHT";"J. B. Hunt Transport Services";"Industrials";115.88;0.6689224;828238;6.18;0.92
"JCI";"Johnson Controls International";"Industrials";37.41;3.0862465;8824991;1.612;1.01
"JEC";"Jacobs Engineering Group";"Industrials";63.09;1.3819711;2033748;1.921;0.6
"JNJ";"Johnson & Johnson";"Health Care";130.27;0.57130045;9963943;0.47;3.32
"JNPR";"Juniper Networks";"Information Technology";25.8;1.4150892;3977759;0.8;0.4
"JPM";"JPMorgan Chase & Co.";"Financials";111.74;1.54489;18043325;6.31;2.12
"JWN";"Nordstrom";"Consumer Discretionary";48.37;1.002296;910082;2.867;1.48
"K";"Kellogg Co.";"Consumer Staples";67.07;-0.38616088;3287655;2.234;2.1
"KEY";"KeyCorp";"Financials";20.59;0.98087674;10382972;1.126;0.38
"KHC";"Kraft Heinz Co";"Consumer Staples";71.81;0.6024101;4372905;3.2;2.425
"KIM";"Kimco Realty";"Real Estate";14.32;0.98730177;7088667;0.859;1.08
"KLAC";"KLA-Tencor Corp.";"Information Technology";103.91;2.9831538;1755823;4.16;2.26
"KMB";"Kimberly-Clark";"Consumer Staples";113.67;2.0010731;2695238;6.4;3.88
"KMI";"Kinder Morgan";"Energy";17.3;0.34802476;17073782;0.01;0.5
"KMX";"Carmax Inc";"Consumer Discretionary";65.66;1.8142438;1473224;3.737;NA
"KO";"Coca-Cola Company (The)";"Consumer Staples";43.97;1.9476006;14688426;1.038;1.46
"KORS";"Michael Kors Holdings";"Consumer Discretionary";60.89;1.8227428;3656854;3.329;NA
"KR";"Kroger Co.";"Consumer Staples";27.2;-1.663048;10827057;1.685;0.49
"KSS";"Kohl's Corp.";"Consumer Discretionary";61.12;-0.56938714;3620632;3.789;2.15
"KSU";"Kansas City Southern";"Industrials";105.42;1.5900565;1351430;9.16;1.38
"L";"Loews Corp.";"Financials";47.5;1.6477648;1895401;2.871;0.25
"LB";"L Brands Inc.";"Consumer Discretionary";48.7;0.10277335;3737225;3.294;2.4
"LEG";"Leggett & Platt";"Consumer Discretionary";44.92;1.4453465;1300728;2.133;1.42
"LEN";"Lennar Corp.";"Consumer Discretionary";59.34;1.1075166;18346861;3.38;0.157
"LH";"Laboratory Corp. of America Holding";"Health Care";168.49;0.24393363;732490;12.21;NA
"LKQ";"LKQ Corporation";"Consumer Discretionary";40.16;3.186027;2474859;1.593;NA
"LLL";"L-3 Communications Holdings";"Industrials";204.44;0.95304334;587614;8.505;3
"LLY";"Lilly (Eli) & Co.";"Health Care";76.25;0.026231984;6454242;-0.194;2.08
"LMT";"Lockheed Martin Corp.";"Industrials";345.81;1.2858016;1829161;6.891;7.46
"LNC";"Lincoln National";"Financials";75.47;0.11940033;1785527;9.221;1.2
"LNT";"Alliant Energy Corp";"Utilities";38.48;0.15617225;2176856;1.863;1.239
"LOW";"Lowe's Cos.";"Consumer Discretionary";97.78;0.62776643;8067603;4.149;1.52
"LRCX";"Lam Research";"Information Technology";172.95;4.268404;4150722;9.105;1.85
"LUK";"Leucadia National Corp.";"Financials";24.84;2.4329903;2251771;1.542;0.287
"LUV";"Southwest Airlines";"Industrials";56.81;2.3603628;4427135;5.79;0.475
"LYB";"LyondellBasell";"Materials";109.7;2.532946;2260652;12.228;3.55
"M";"Macy's Inc.";"Consumer Discretionary";24.19;0.16563527;7716546;2.277;1.51
"MA";"Mastercard Inc.";"Information Technology";168.19;1.8099308;5227367;3.65;0.91
"MAA";"Mid-America Apartments";"Real Estate";87.74;-0.011398446;1060599;2.86;3.48
"MAC";"Macerich";"Real Estate";60.8;0.64558744;1716119;1.02;2.87
"MAR";"Marriott Int'l.";"Consumer Discretionary";139.1;2.0617895;2835140;3.671;1.26
"MAS";"Masco Corp.";"Industrials";43.12;2.3498642;4981055;1.66;0.41
"MAT";"Mattel Inc.";"Consumer Discretionary";17.36;0.5211358;6676597;-3.07;0.91
"MCD";"McDonald's Corp.";"Consumer Discretionary";163.9;1.927855;5255925;6.367;3.83
"MCHP";"Microchip Technology";"Information Technology";83.02;2.4432325;5019924;1.008;1.447
"MCK";"McKesson Corp.";"Health Care";149.02;0.060438864;1261056;22.735;1.24
"MCO";"Moody's Corp";"Financials";159.28;3.000517;1214585;2.806;1.51
"MDLZ";"Mondelez International";"Consumer Staples";42.53;0.925485;15788648;1.91;0.82
